data	odmiana	typ	nip	kg
2022-02-08	Jonagored	Z	192-09-72-275	450
2022-02-09	Alwa	Z	140-36-11-559	370
2022-02-10	Cortland	J	216-78-90-123	410
2022-02-11	Antonowka	Z	245-67-89-012	490
2022-02-12	Jonagold	Z	128-29-15-591	420
2022-02-13	Jonagored	L	192-09-72-275	360
2022-02-14	Alwa	Z	140-36-11-559	480
2022-02-15	Cortland	Z	216-78-90-123	520
2022-02-16	Antonowka	J	245-67-89-012	350
2022-02-17	Jonagold	Z	128-29-15-591	430
2022-02-18	Jonagored	Z	192-09-72-275	410
2022-02-19	Alwa	L	140-36-11-559	470
2022-02-20	Cortland	Z	216-78-90-123	390
2022-02-21	Antonowka	Z	245-67-89-012	510
2022-02-22	Jonagold	J	128-29-15-591	380
2022-02-23	Jonagored	Z	192-09-72-275	440
2022-02-24	Alwa	Z	140-36-11-559	500
2022-02-25	Cortland	L	216-78-90-123	420
2022-02-26	Antonowka	Z	245-67-89-012	460
2022-02-27	Jonagold	Z	128-29-15-591	370
2022-02-28	Jonagored	Z	192-09-72-275	480
2022-03-01	Alwa	J	140-36-11-559	410
2022-03-02	Cortland	Z	216-78-90-123	530
2022-03-03	Antonowka	Z	245-67-89-012	390
2022-03-04	Jonagold	L	128-29-15-591	450
2022-03-05	Jonagored	Z	192-09-72-275	470
2022-03-06	Alwa	Z	140-36-11-559	360
2022-03-07	Cortland	J	216-78-90-123	400
2022-03-08	Antonowka	Z	245-67-89-012	520
2022-03-09	Jonagold	Z	128-29-15-591	410
2022-03-10	Jonagored	L	192-09-72-275	380
2022-03-11	Alwa	Z	140-36-11-559	490
2022-03-12	Cortland	Z	216-78-90-123	440
2022-03-13	Antonowka	J	245-67-89-012	350
2022-03-14	Jonagold	Z	128-29-15-591	510
2022-03-15	Jonagored	Z	192-09-72-275	420
2022-03-16	Alwa	L	140-36-11-559	470
2022-03-17	Cortland	Z	216-78-90-123	380
2022-03-18	Antonowka	Z	245-67-89-012	430
2022-03-19	Jonagold	J	128-29-15-591	460
2022-03-20	Jonagored	Z	192-09-72-275	390
2022-03-21	Alwa	Z	140-36-11-559	530
2022-03-22	Cortland	L	216-78-90-123	400
2022-03-23	Antonowka	Z	245-67-89-012	480
2022-03-24	Jonagold	Z	128-29-15-591	370
2022-03-25	Jonagored	Z	192-09-72-275	450
2022-03-26	Alwa	J	140-36-11-559	410
2022-03-27	Cortland	Z	216-78-90-123	520
2022-03-28	Antonowka	Z	245-67-89-012	390
2022-03-29	Jonagold	L	128-29-15-591	440
2022-03-30	Jonagored	Z	192-09-72-275	470
2022-03-31	Alwa	Z	140-36-11-559	360
2022-04-01	Cortland	Z	216-78-90-123	500
2022-04-02	Antonowka	J	245-67-89-012	420
2022-04-03	Jonagold	Z	128-29-15-591	380
2022-04-04	Jonagored	L	192-09-72-275	510
2022-04-05	Alwa	Z	140-36-11-559	430
2022-04-06	Cortland	Z	216-78-90-123	470
2022-04-07	Antonowka	Z	245-67-89-012	350
2022-04-08	Jonagold	J	128-29-15-591	440
2022-04-09	Jonagored	Z	192-09-72-275	490
2022-04-10	Alwa	Z	140-36-11-559	410
2022-04-11	Cortland	L	216-78-90-123	520
2022-04-12	Antonowka	Z	245-67-89-012	480
2022-04-13	Jonagold	Z	128-29-15-591	370
2022-04-14	Jonagored	Z	192-09-72-275	450
2022-04-15	Alwa	J	140-36-11-559	500
2022-04-16	Cortland	Z	216-78-90-123	390
2022-04-17	Antonowka	Z	245-67-89-012	430
2022-04-18	Jonagold	L	128-29-15-591	410
2022-04-19	Jonagored	Z	192-09-72-275	470
2022-04-20	Alwa	Z	140-36-11-559	420
2022-04-21	Cortland	Z	216-78-90-123	510
2022-04-22	Antonowka	J	245-67-89-012	360
2022-04-23	Jonagold	Z	128-29-15-591	480
2022-04-24	Jonagored	L	192-09-72-275	390
2022-04-25	Alwa	Z	140-36-11-559	440
2022-04-26	Cortland	Z	216-78-90-123	450
2022-04-27	Antonowka	Z	245-67-89-012	370
2022-04-28	Jonagold	J	128-29-15-591	520
2022-04-29	Jonagored	Z	192-09-72-275	410
2022-04-30	Alwa	Z	140-36-11-559	490
2022-05-01	Cortland	L	216-78-90-123	380
2022-05-02	Antonowka	Z	245-67-89-012	430
2022-05-03	Jonagold	Z	128-29-15-591	470
2022-05-04	Jonagored	Z	192-09-72-275	350
2022-05-05	Alwa	J	140-36-11-559	510
2022-05-06	Cortland	Z	216-78-90-123	420
2022-05-07	Antonowka	Z	245-67-89-012	460
2022-05-08	Jonagold	L	128-29-15-591	390
2022-05-09	Jonagored	Z	192-09-72-275	480
2022-05-10	Alwa	Z	140-36-11-559	410
2022-05-11	Cortland	Z	216-78-90-123	530
2022-05-12	Antonowka	J	245-67-89-012	370
2022-05-13	Jonagold	Z	128-29-15-591	440
2022-05-14	Jonagored	L	192-09-72-275	500
2022-05-15	Alwa	Z	140-36-11-559	420
2022-05-16	Cortland	Z	216-78-90-123	450
2022-05-17	Antonowka	Z	245-67-89-012	380
2022-05-18	Jonagold	J	128-29-15-591	510
2022-05-19	Jonagored	Z	192-09-72-275	430
2022-05-20	Alwa	Z	140-36-11-559	470
2022-05-21	Cortland	L	216-78-90-123	390
2022-05-22	Antonowka	Z	245-67-89-012	520
2022-05-23	Jonagold	Z	128-29-15-591	410
2022-05-24	Jonagored	Z	192-09-72-275	460
2022-05-25	Alwa	J	140-36-11-559	350
2022-05-26	Cortland	Z	216-78-90-123	480
2022-05-27	Antonowka	Z	245-67-89-012	440
2022-05-28	Jonagold	L	128-29-15-591	370
2022-05-29	Jonagored	Z	192-09-72-275	490
2022-05-30	Alwa	Z	140-36-11-559	420
2022-05-31	Cortland	Z	216-78-90-123	500
2022-06-01	Antonowka	J	245-67-89-012	390
2022-06-02	Jonagold	Z	128-29-15-591	430
2022-06-03	Jonagored	L	192-09-72-275	470
2022-06-04	Alwa	Z	140-36-11-559	360
2022-06-05	Cortland	Z	216-78-90-123	510
2022-06-06	Antonowka	Z	245-67-89-012	450
2022-06-07	Jonagold	J	128-29-15-591	410
2022-06-08	Jonagored	Z	192-09-72-275	480
2022-06-09	Alwa	Z	140-36-11-559	440
2022-06-10	Cortland	L	216-78-90-123	520
2022-06-11	Antonowka	Z	245-67-89-012	370
2022-06-12	Jonagold	Z	128-29-15-591	500
2022-06-13	Jonagored	Z	192-09-72-275	390
2022-06-14	Alwa	J	140-36-11-559	470
2022-06-15	Cortland	Z	216-78-90-123	430
2022-06-16	Antonowka	Z	245-67-89-012	460
2022-06-17	Jonagold	L	128-29-15-591	420
2022-06-18	Jonagored	Z	192-09-72-275	510
2022-06-19	Alwa	Z	140-36-11-559	350
2022-06-20	Cortland	Z	216-78-90-123	480
2022-06-21	Antonowka	J	245-67-89-012	440
2022-06-22	Jonagold	Z	128-29-15-591	380
2022-06-23	Jonagored	L	192-09-72-275	470
2022-06-24	Alwa	Z	140-36-11-559	410
2022-06-25	Cortland	Z	216-78-90-123	530
2022-06-26	Antonowka	Z	245-67-89-012	390
2022-06-27	Jonagold	J	128-29-15-591	450
2022-06-28	Jonagored	Z	192-09-72-275	500
2022-06-29	Alwa	Z	140-36-11-559	420
2022-06-30	Cortland	L	216-78-90-123	460
2022-07-01	Antonowka	Z	245-67-89-012	380
2022-07-02	Jonagold	Z	128-29-15-591	510
2022-07-03	Jonagored	Z	192-09-72-275	430
2022-07-04	Alwa	J	140-36-11-559	470
2022-07-05	Cortland	Z	216-78-90-123	390
2022-07-06	Antonowka	Z	245-67-89-012	520
2022-07-07	Jonagold	L	128-29-15-591	410
2022-07-08	Jonagored	Z	192-09-72-275	460
2022-07-09	Alwa	Z	140-36-11-559	350
2022-07-10	Cortland	Z	216-78-90-123	480
2022-07-11	Antonowka	J	245-67-89-012	440
2022-07-12	Jonagold	Z	128-29-15-591	370
2022-07-13	Jonagored	L	192-09-72-275	490
2022-07-14	Alwa	Z	140-36-11-559	420
2022-07-15	Cortland	Z	216-78-90-123	500
2022-07-16	Antonowka	Z	245-67-89-012	390
2022-07-17	Jonagold	J	128-29-15-591	430
2022-07-18	Jonagored	Z	192-09-72-275	470
2022-07-19	Alwa	Z	140-36-11-559	360
2022-07-20	Cortland	L	216-78-90-123	510
2022-07-21	Antonowka	Z	245-67-89-012	450
2022-07-22	Jonagold	Z	128-29-15-591	410
2022-07-23	Jonagored	Z	192-09-72-275	480
2022-07-24	Alwa	J	140-36-11-559	440
2022-07-25	Cortland	Z	216-78-90-123	520
2022-07-26	Antonowka	Z	245-67-89-012	370
2022-07-27	Jonagold	L	128-29-15-591	500
2022-07-28	Jonagored	Z	192-09-72-275	390
2022-07-29	Alwa	Z	140-36-11-559	470
2022-07-30	Cortland	Z	216-78-90-123	430
2022-07-31	Antonowka	J	245-67-89-012	460
2022-08-01	Jonagold	Z	128-29-15-591	420
2022-08-02	Jonagored	L	192-09-72-275	510
2022-08-03	Alwa	Z	140-36-11-559	350
2022-08-04	Cortland	Z	216-78-90-123	480
2022-08-05	Antonowka	Z	245-67-89-012	440
2022-08-06	Jonagold	J	128-29-15-591	380
2022-08-07	Jonagored	Z	192-09-72-275	470
2022-08-08	Alwa	Z	140-36-11-559	410
2022-08-09	Cortland	L	216-78-90-123	530
2022-08-10	Antonowka	Z	245-67-89-012	390
2022-08-11	Jonagold	Z	128-29-15-591	450
2022-08-12	Jonagored	Z	192-09-72-275	500
2022-08-13	Alwa	J	140-36-11-559	420
2022-08-14	Cortland	Z	216-78-90-123	460
2022-08-15	Antonowka	Z	245-67-89-012	380
2022-08-16	Jonagold	L	128-29-15-591	510
2022-08-17	Jonagored	Z	192-09-72-275	430
2022-08-18	Alwa	Z	140-36-11-559	470
2022-08-19	Cortland	Z	216-78-90-123	390
2022-08-20	Antonowka	J	245-67-89-012	520
2022-08-21	Jonagold	Z	128-29-15-591	410
2022-08-22	Jonagored	L	192-09-72-275	460
2022-08-23	Alwa	Z	140-36-11-559	350
2022-08-24	Cortland	Z	216-78-90-123	480
2022-08-25	Antonowka	Z	245-67-89-012	440
2022-08-26	Jonagold	J	128-29-15-591	370
2022-08-27	Jonagored	Z	192-09-72-275	490
2022-08-28	Alwa	Z	140-36-11-559	420
2022-08-29	Cortland	L	216-78-90-123	500
2022-08-30	Antonowka	Z	245-67-89-012	390
2022-08-31	Jonagold	Z	128-29-15-591	430
2022-09-01	Jonagored	Z	192-09-72-275	470
2022-09-02	Alwa	J	140-36-11-559	360
2022-09-03	Cortland	Z	216-78-90-123	510
2022-09-04	Antonowka	Z	245-67-89-012	450
2022-09-05	Jonagold	L	128-29-15-591	410
2022-09-06	Jonagored	Z	192-09-72-275	480
2022-09-07	Alwa	Z	140-36-11-559	440
2022-09-08	Cortland	Z	216-78-90-123	520
2022-09-09	Antonowka	J	245-67-89-012	370
2022-09-10	Jonagold	Z	128-29-15-591	500
2022-09-11	Jonagored	L	192-09-72-275	390
2022-09-12	Alwa	Z	140-36-11-559	470
2022-09-13	Cortland	Z	216-78-90-123	430
2022-09-14	Antonowka	Z	245-67-89-012	460
2022-09-15	Jonagold	J	128-29-15-591	420
2022-09-16	Jonagored	Z	192-09-72-275	510
2022-09-17	Alwa	Z	140-36-11-559	350
2022-09-18	Cortland	L	216-78-90-123	480
2022-09-19	Antonowka	Z	245-67-89-012	440
2022-09-20	Jonagold	Z	128-29-15-591	380
2022-09-21	Jonagored	Z	192-09-72-275	470
2022-09-22	Alwa	J	140-36-11-559	410
2022-09-23	Cortland	Z	216-78-90-123	530
2022-09-24	Antonowka	Z	245-67-89-012	390
2022-09-25	Jonagold	L	128-29-15-591	450
2022-09-26	Jonagored	Z	192-09-72-275	500
2022-09-27	Alwa	Z	140-36-11-559	420
2022-09-28	Cortland	Z	216-78-90-123	460
2022-09-29	Antonowka	J	245-67-89-012	380
2022-09-30	Jonagold	Z	128-29-15-591	510
2022-10-01	Jonagored	L	192-09-72-275	430
2022-10-02	Alwa	Z	140-36-11-559	470
2022-10-03	Cortland	Z	216-78-90-123	390
2022-10-04	Antonowka	Z	245-67-89-012	520
2022-10-05	Jonagold	J	128-29-15-591	410
2022-10-06	Jonagored	Z	192-09-72-275	460
2022-10-07	Alwa	Z	140-36-11-559	350
2022-10-08	Cortland	L	216-78-90-123	480
2022-10-09	Antonowka	Z	245-67-89-012	440
2022-10-10	Jonagold	Z	128-29-15-591	370
2022-10-11	Jonagored	Z	192-09-72-275	490
2022-10-12	Alwa	J	140-36-11-559	420
2022-10-13	Cortland	Z	216-78-90-123	500
2022-10-14	Antonowka	Z	245-67-89-012	390
2022-10-15	Jonagold	L	128-29-15-591	430
2022-10-16	Jonagored	Z	192-09-72-275	470
2022-10-17	Alwa	Z	140-36-11-559	360
2022-10-18	Cortland	Z	216-78-90-123	510
2022-10-19	Antonowka	J	245-67-89-012	450
2022-10-20	Jonagold	Z	128-29-15-591	410
2022-10-21	Jonagored	L	192-09-72-275	480
2022-10-22	Alwa	Z	140-36-11-559	440
2022-10-23	Cortland	Z	216-78-90-123	520
2022-10-24	Antonowka	Z	245-67-89-012	370
2022-10-25	Jonagold	J	128-29-15-591	500
2022-10-26	Jonagored	Z	192-09-72-275	390
2022-10-27	Alwa	Z	140-36-11-559	470
2022-10-28	Cortland	L	216-78-90-123	430
2022-10-29	Antonowka	Z	245-67-89-012	460
2022-10-30	Jonagold	Z	128-29-15-591	420
2022-10-31	Jonagored	Z	192-09-72-275	510
2022-11-01	Alwa	J	140-36-11-559	350
2022-11-02	Cortland	Z	216-78-90-123	480
2022-11-03	Antonowka	Z	245-67-89-012	440
2022-11-04	Jonagold	L	128-29-15-591	380
2022-11-05	Jonagored	Z	192-09-72-275	470
2022-11-06	Alwa	Z	140-36-11-559	410
2022-11-07	Cortland	Z	216-78-90-123	530
2022-11-08	Antonowka	J	245-67-89-012	390
2022-11-09	Jonagold	Z	128-29-15-591	450
2022-11-10	Jonagored	L	192-09-72-275	500
2022-11-11	Alwa	Z	140-36-11-559	420
2022-11-12	Cortland	Z	216-78-90-123	460
2022-11-13	Antonowka	Z	245-67-89-012	380
2022-11-14	Jonagold	J	128-29-15-591	510
2022-11-15	Jonagored	Z	192-09-72-275	430
2022-11-16	Alwa	Z	140-36-11-559	470
2022-11-17	Cortland	L	216-78-90-123	390
2022-11-18	Antonowka	Z	245-67-89-012	520
2022-11-19	Jonagold	Z	128-29-15-591	410
2022-11-20	Jonagored	Z	192-09-72-275	460
2022-11-21	Alwa	J	140-36-11-559	350
2022-11-22	Cortland	Z	216-78-90-123	480
2022-11-23	Antonowka	Z	245-67-89-012	440
2022-11-24	Jonagold	L	128-29-15-591	370
2022-11-25	Jonagored	Z	192-09-72-275	490
2022-11-26	Alwa	Z	140-36-11-559	420
2022-11-27	Cortland	Z	216-78-90-123	500
2022-11-28	Antonowka	J	245-67-89-012	390
2022-11-29	Jonagold	Z	128-29-15-591	430
2022-11-30	Jonagored	L	192-09-72-275	470
2022-12-01	Alwa	Z	140-36-11-559	360
2022-12-02	Cortland	Z	216-78-90-123	510
2022-12-03	Antonowka	Z	245-67-89-012	450
2022-12-04	Jonagold	J	128-29-15-591	410
2022-12-05	Jonagored	Z	192-09-72-275	480
2022-12-06	Alwa	Z	140-36-11-559	440
2022-12-07	Cortland	L	216-78-90-123	520
2022-12-08	Antonowka	Z	245-67-89-012	370
2022-12-09	Jonagold	Z	128-29-15-591	500
2022-12-10	Jonagored	Z	192-09-72-275	390
2022-12-11	Alwa	J	140-36-11-559	470
2022-12-12	Cortland	Z	216-78-90-123	430
2022-12-13	Antonowka	Z	245-67-89-012	460
2022-12-14	Jonagold	L	128-29-15-591	420
2022-12-15	Jonagored	Z	192-09-72-275	510
2022-12-16	Alwa	Z	140-36-11-559	350
2022-12-17	Cortland	Z	216-78-90-123	480
2022-12-18	Antonowka	J	245-67-89-012	440
2022-12-19	Jonagold	Z	128-29-15-591	380
2022-12-20	Jonagored	L	192-09-72-275	470
2022-12-21	Alwa	Z	140-36-11-559	410
2022-12-22	Cortland	Z	216-78-90-123	530
2022-12-23	Antonowka	Z	245-67-89-012	390
2022-12-24	Jonagold	J	128-29-15-591	450
2022-12-25	Jonagored	Z	192-09-72-275	500
2022-12-26	Alwa	Z	140-36-11-559	420
2022-12-27	Cortland	Z	216-78-90-123	460
2022-12-28	Antonowka	Z	245-67-89-012	380
2022-12-29	Jonagold	L	128-29-15-591	510
2022-12-30	Jonagored	Z	192-09-72-275	430
2022-12-31	Alwa	Z	140-36-11-559	470
2022-01-10	Cortland	Z	345-12-34-567	480
2022-01-15	Jonagold	J	345-12-34-567	390
2022-01-25	Alwa	Z	345-12-34-567	520
2022-02-08	Antonowka	Z	345-12-34-567	410
2022-02-20	Cortland	L	345-12-34-567	460
2022-03-12	Jonagold	Z	345-12-34-567	530
2022-03-28	Jonagored	J	345-12-34-567	380
2022-04-10	Alwa	Z	345-12-34-567	490
2022-04-22	Cortland	Z	345-12-34-567	420
2022-05-05	Antonowka	L	345-12-34-567	510
2022-05-18	Jonagold	Z	345-12-34-567	440
2022-06-02	Jonagored	Z	345-12-34-567	470
2022-06-15	Alwa	J	345-12-34-567	350
2022-07-01	Cortland	Z	345-12-34-567	520
2022-07-14	Antonowka	Z	345-12-34-567	410
2022-08-02	Jonagold	L	345-12-34-567	460
2022-08-16	Jonagored	Z	345-12-34-567	430
2022-09-04	Alwa	Z	345-12-34-567	480
2022-09-18	Cortland	J	345-12-34-567	390
2022-10-07	Antonowka	Z	345-12-34-567	500
2022-10-22	Jonagold	Z	345-12-34-567	420
2022-11-08	Jonagored	L	345-12-34-567	470
2022-11-25	Alwa	Z	345-12-34-567	360
2022-12-10	Cortland	Z	345-12-34-567	510
2022-12-28	Antonowka	J	345-12-34-567	430
2022-01-12	Alwa	L	456-78-90-123	520
2022-01-28	Cortland	Z	456-78-90-123	410
2022-02-14	Jonagold	Z	456-78-90-123	490
2022-02-25	Jonagored	J	456-78-90-123	380
2022-03-15	Antonowka	Z	456-78-90-123	470
2022-04-02	Alwa	Z	456-78-90-123	440
2022-04-18	Cortland	L	456-78-90-123	520
2022-05-04	Jonagold	Z	456-78-90-123	390
2022-05-20	Jonagored	J	456-78-90-123	500
2022-06-08	Alwa	Z	456-78-90-123	430
2022-06-22	Antonowka	Z	456-78-90-123	460
2022-07-10	Cortland	L	456-78-90-123	380
2022-07-26	Jonagold	Z	456-78-90-123	510
2022-08-12	Jonagored	Z	456-78-90-123	420
2022-08-28	Alwa	J	456-78-90-123	470
2022-09-14	Cortland	Z	456-78-90-123	390
2022-10-01	Antonowka	Z	456-78-90-123	520
2022-10-18	Jonagold	L	456-78-90-123	410
2022-11-06	Jonagored	Z	456-78-90-123	460
2022-11-22	Alwa	Z	456-78-90-123	350
2022-12-08	Cortland	J	456-78-90-123	480
2022-12-26	Antonowka	Z	456-78-90-123	440
2022-01-08	Jonagored	L	567-34-56-789	530
2022-01-22	Alwa	Z	567-34-56-789	410
2022-02-06	Cortland	Z	567-34-56-789	480
2022-02-18	Jonagold	J	567-34-56-789	390
2022-03-06	Antonowka	Z	567-34-56-789	500
2022-03-20	Jonagored	Z	567-34-56-789	420
2022-04-08	Alwa	L	567-34-56-789	490
2022-04-24	Cortland	Z	567-34-56-789	370
2022-05-12	Jonagold	Z	567-34-56-789	510
2022-05-26	Antonowka	J	567-34-56-789	440
2022-06-14	Jonagored	Z	567-34-56-789	470
2022-06-28	Alwa	Z	567-34-56-789	360
2022-07-18	Cortland	L	567-34-56-789	520
2022-08-04	Jonagold	Z	567-34-56-789	410
2022-08-20	Antonowka	J	567-34-56-789	460
2022-09-08	Jonagored	Z	567-34-56-789	430
2022-09-24	Alwa	Z	567-34-56-789	480
2022-10-12	Cortland	Z	567-34-56-789	390
2022-10-28	Jonagold	L	567-34-56-789	500
2022-11-14	Antonowka	Z	567-34-56-789	420
2022-12-02	Jonagored	Z	567-34-56-789	470
2022-12-20	Alwa	J	567-34-56-789	350
2022-01-05	Cortland	Z	678-90-12-345	520
2022-01-20	Jonagold	L	678-90-12-345	410
2022-02-04	Antonowka	Z	678-90-12-345	490
2022-02-16	Jonagored	J	678-90-12-345	380
2022-03-04	Alwa	Z	678-90-12-345	470
2022-03-18	Cortland	Z	678-90-12-345	440
2022-04-06	Jonagold	L	678-90-12-345	520
2022-04-20	Jonagored	Z	678-90-12-345	390
2022-05-08	Alwa	J	678-90-12-345	500
2022-05-24	Antonowka	Z	678-90-12-345	430
2022-06-10	Cortland	Z	678-90-12-345	460
2022-06-26	Jonagold	L	678-90-12-345	380
2022-07-12	Jonagored	Z	678-90-12-345	510
2022-07-28	Alwa	Z	678-90-12-345	420
2022-08-14	Antonowka	J	678-90-12-345	470
2022-08-30	Cortland	Z	678-90-12-345	390
2022-09-16	Jonagold	Z	678-90-12-345	520
2022-10-04	Jonagored	L	678-90-12-345	410
2022-10-20	Alwa	Z	678-90-12-345	460
2022-11-06	Antonowka	J	678-90-12-345	350
2022-11-24	Cortland	Z	678-90-12-345	480
2022-12-12	Jonagold	Z	678-90-12-345	440
